text,cEXT,cNEU,cAGR,cCON,cOPN
"i wonder if kyle will call. he lies all the time kyle listening to music reminds me about kyle, about our relationship about how good it was, he used to be so sweet, kissing me and i know that he really did love me at one time, why has everything changed, why does he still tell me he loves me but acts mean to me, i hate that he tells me i shoudldnt go out and party and have fun because he does it too, he gets involved with others while i just window shop at guys, im just not attracted to some of the gusy here, they are morons, they have money stuck on their minds along with sex. i don't feel pretty enough for some of the nice guys that i do meet, i have gained sooo much weight in the last two years, fat. i feel so fat, i can't wear anything anymore because it looks so terrible, i used to feel pretty and normal back home where i everyone seemed to love me, I've been so homesick, i miss my granny and janie and kyles family. i worry about tara back home, if shes making the right decisions if she really will go to college, i at least want her to go to kc i don't want her to end up like everyone else in kilgore, they end up working at some department store making minimum wage and haveing five babies and getting on food stamps. shes better than that. i love her and want her to not end up my mom. i hate my mother. she has to be the worst person ever to just leave me behind, to leave me like i don't matter, to not come to my graduation, to not try to see me to leave me for a man that she doesnt love. she was so wrong to my dad. i wish she would go to prison and i hate her so much. i can't be like her i can't end up like her. i will never hurt my children when im a mom. i will be a good mother. a mom who plays tea party and who devotes her life to them. they will be my world. i wonder if ill marry kyle, i wonder if he will be the father of my children. i hate not knowing how he feels. he pisses me off. he says he loves me and at time i really think he does but then  he treats me like shit too. i wish i could say no to him but it always seems so impossible. i love him. everything reminds me of him. every conversation i have involves his name everything i hear or see reminds me of the good times we had. we were in love. a guy just doesnt do the stupid things he does. but then why did he have to reverse all that. why did he date that trish when he left to go to college, we were together and he dated her and i really don't trust him. hes nothing but a big mystery to me. what is it about him, what is missing that i don't know about. i feel like hes hiding something really really bad from me. he used to scare me when he said hes involved in the mafia. i believe him some of the time. its weird how everything he says is right. hes so weird. kyle is reallly really weird. i want to go see him. i want him to take me to a football game. i wonder why he liked me. i was five years younger than him. a baby compared to him. he never had a girlfriend until me. not a serious one anyway, just girls that he played and used. what made him fall in love with me. what makes him have control over me. i let him. everythihng he does is my fault becuase i let him do it. i let hime make me feel bad but i don't know how to get away from that. i feel like hes the only person in this world that knows everything about me. everything and hes the only one that understands everything i do and have been through. i miss him. i hate him too. i really want to cry this music im listening to is so damn depressing. bryan adams. romantic music. this reminds me of back home. i miss kilgore, i hated it when i left and now i miss it. its small but a good town. im ready to go to homecoming. i wonder if ill have any attention. i used to remember the college kids coming hnome for the first time and how cool it was. i wonder if people will be happy to see me. i wonder if they will think i look different. freshman fifteen surely not in a month. its alcohol. i think i drink too much. i miss riding by myslef with a case on the backroads back in kilgore. those were the days. ",high,high,high,high,low
"Ok so I just got back from a four hour study hour thing at the ZTA house. WOW the most pointless thing ever. I read maybe 10 pages. How am I supposed to study with 50 other girls there in the room? You don't have that much space and of course you want to talk about what happened last night and who ended up where, and blahblahblah. I know they have good intentions in making us do this, but 4 hours at one time is waaay too long to try to study. No one really got anything done. But hey it was fun- I got to bond more with my sorority sisters! Speaking of sorority stuff, I love it. At first, I was afraid I wouldn't like it, or that the girls wouldn't like me, but I Couldn't be having more fun. I have more friends than I thought I would have going into college, and they're real friends, too, not friends you ""pay for"" with sorority fees. I'm listening to music right now, and recently (as in the past couple of months) I've gotten more and more into music. I've always loved music, but ever since I dated a great guy who is a complete music person I've liked it even more. Today kyle and I (my aggie ex-boyfriend) were joking about how pathetic we are for missing eachother so much. it was funny. we knew going into it at the beginning of the summer that we were going to break up when we went off to college because, of course, it wouldn't work. But now that we're all settled in, we still miss eachother. It got really serious really fast. it was unbelievably random. We never thought we would hook-up, but it happened and it was awesome. I hate to say it because I'm so young and I hate it when people say things like that, but I could quite possibly see myself with him after college- like permanently. That's so weird. Well, sincewe did break up, we are allowed to hang out with other people (date-wise) but neither of us really wanted to. Last week I met this really cool guy from the Woodlands-he's an ATO pledge. I've gone to a couple parties with him as his date and I kind of have a crush on him. It's exciting, but at the same time, I'm far from being over Kyle. The whole point of not being together was that we could go out and have fun without being tied down, but I still feel bad about it. I have constantly had this entire ""soap opera"" on my mind for the last week- nonstop. The cool thing about being in a relationship is that you have that stability- you never have to wonder if he likes you, or if he's going to call and all that. With a new guy it's always like I wonder if he likes me and why didn't he call?-worrying. It's fun, don't' get me wrong, but it kind of puts ur confidence in check. I've recently gotten into Maroon 5 again. I used to love them, but working at Hollister and hearing the entire CD all the time made me hate it. I don't work at Hollister anymore, so I havent heard Maroon 5 in awhile, and now I love them again. ",high,low,low,low,low
"Hi, I'm sitting here in the computer lab at the FAC, and it is dark outside and I'm a young attractive female. . I'll definitely need an escort when it's time to go home. Home, that's what I call my dorm these days. it's just easier for me. I want to have some established place to live and stuff that way I'll be more plugged in to the university lifestyle. I used to laugh at LT when she called her dorm home. I guess I am following in her footsteps. although her strides are quite different from mine. and talking of strides, I miss cross country and all the guys. it was so much fun. I enjoyed every moment of it without even knowing it. I wish I could rewind back to those days when everything was so nice, so quarantined and all the laws of nature followed as they should. what went up came down and so on. I wish I could just see the fruit of my hard work as I did in cross country. the family atmosphere that I ridiculed and even took for granted at times. how could I have been so? I who loves others, I who cherishes all my friends. they were all my friends, all 23 of them. some more than others, but we all had that common goal that I find characterizes friendships. we were a sister hood. gosh, what a mourner I am, lamenting over the past. but they were good times. I'm sure, and I hope to God that I'll have some more good times or even better than ever times still to come. but this I can only hope that God gives me. For who knows tomorrow may never be. perhaps this is all I have. I'm not afraid though, just not prepared to meet my maker yet. I don't think I've done what I was purposed to do. therefore I'm not ready to go yet. in fact,,, I don't even know what it is that I was purposed to do. perhaps it is not a single great thing, perhaps it is just all those little things that I should be doing that I was purposed to do. who knows?  who cares but me and my maker?  Anyway, I guess that's life, not figuring out what one was purposed to do but just doing it. I guess it just comes naturally as all things in life do. I don't think planning is such a great idea. I don't think MLK planned to lead the civil rights movement when he was a freshman in college. I guess the civil rights found him and appointed him leader. or so I guess. and whatever it is that I'll need to do will find me and use me for what I am worth. when put that way, it sounds almost prostitution. but it cannot be. mankind is not a prostitute race. or is it. I don't know. sometimes I think it is . other times I think it is a dignified race. but then again to think mankind a dignified race is to give it too much adoration. too much more than it deserves. Mankind is a fallen race. lower than the angles -which we should have been higher than. but then again mankind is a dignified race made in the image of God with the ability to tap into the supernatural/the unknown unlike any other creature. There is no intelligent life in other planets, we are it. Now, I don't mean to say there is no other life forms out there, but that it is not more intelligent or even as intelligent as mankind. but then again what do I know? I who was born only 18 years ago?  I don't know much, but then again, I have know a lot more than I credit myself. I have the ability to tap into the fountain of knowledge that never runs dry. there are things, great mysteries, that I knew even before I was born. but how is this?. oops my 20 minutes are up and that popup really disrupted my stream of consciousness!!!!  what an ass! ",low,high,low,high,high
"I am sore, my pecs hurt. hmmmm, I need a woman, I can't find anyone here, all the girls I meet are either ugyl, stupid, or taken, life is beginning to suck. I love UT but I am having trouble finding myself, I am not sure what I am going to do. I have always wanted to be a doctor, but what happens if I don't get into med school. what can I do with a bs in biochemistry? I hate living off campus. by the end of the day, I begin to smell, and I can't get home and take a shower unlike everyone else. I hope my car is going to be fixed by this weekend, things will be so much more convenient for me if it does get fixed. I wish I had gone to an earlier orientation and set my schedle right, I don't lke having 5 hours in between classes. ugh. sigh. I need a woman. I just want someone to hang out with whenever I get bored. right now I can't get into contact with any of my friends, so I have nnothing bettert to do, I am hungry. I want to go home. but I would have to walk fifteen minutes to the stop, wait a half hour at the damn stop, then wait another half hour to get home, then walk about ten minues, then it would take about another fifteen minutes for my food to get ready. ugh. I am bored, I need a woman. I wish I knew how I was percioeved by woman, I don't know if they find me attractive, funny, cute, or anything, I am completly clueless. I wish someone would just comeup and tell me exactly wha they think of me. sigh. lets see, my mouth tastes funny. I wish I had ome food on me. damn. damn, why does v have to have a boyfriend already, she just broke up with someone. I wish she liked me. I hate being ""just friends"" when I want more. I don't want to type this in the smf, I have an eerie feeling that someone I know is loooking over my shoulder, watching me write this stuff that I wouldnt tell my closest freiends. if she wasnt such a close friend, I think I would tell her, but she is like my best friend, and now I am afraid, no I know, that we wouldnt be friends if I were to tell her, I know she will freak out, heck I ve seen her do it before. I am so depressed. I need a woman. i hope no one is watching me type this, I am getting paranoid. damn I am sore, my back hurts, my arms hurt, and my chest hurts. I need a job. I need a woman. sigh. what should I do with my life, I think my friends don't like me anymore, I am becoming a nuisance to the I think. I tyr my hardest to not mooch off of people, but I always get bad vibes from everyone, like I am not wanted. I am sure that they arent right, I know that the y  are false, but I can't shake the feeling. I try really hard to be as nice as possible to people now, but I can't shake generalizations that people dish out to me. some of my friends think of me as a pervert, even though my mind dosnt think that way. I never think of nastiness or sex, I just mention it every once in a  while for jokes, I have too much time to myselfs. I thiknk thats why I am so insecure, I have to much time to think about my problems and such that I dwell on them, and make small things look big. if I had someone to hang out with whenever I am bored, then I think I would feel much better about myelf, but I find myself walking around campus a lot, and its so hard to get in contact with my friends, that I can't hang out with them. ,. I find myself drifting away into isolation. sigh. ",high,high,high,low,low
"     ok. i don't know waht to type right now. im listening to alanis morissette right now and the song is about whether she is good enough for anything. sometimes i feel kind of like this; like im not good enough to do anything. now im stumped again as to waht to write. i talked to my best friend kelly yesterday and she is back home now. she went to taiwan for the summer to do an internship. then she went to california to ride a bus back to round rock. but she kept missing the bus back so she ended up staying in california. im really excited that she came back. i havent seen her in like four months and i didnt get to see her off when she left. i was really sad. sometimes i miss having a best friend here. kelly is my best friend in all but she has her schedule and family problems and a lot of times i just miss having a best friend to do everythign with. haley, one of my other friends used to do a lot with me. . almost everything. but this summer she got a job and her dad got a raise so now that she has more money, it seems like she is too good for me. i don't like people like that. there is someone at our room door. haley and i were suppost to go to breakfast one morning and had planned it all out. but then the morning of the event, she had one of her other friends, jennifer, call me and tell me haley couldnt make it because of a doctors appoinment. i was like, why can't haley call me herself. then she tries to play it all off. i don't really have anything to say to her now. i havent seen her on campus since classes started and weve only talked online about two or three times. thats not much compared to how much we used to talk. twenty minutes is a long time to continuously type. i guess its not too bad for people who type slow but for those who type kind of fast, this just makes for a lot of nonsense talking/ typing. ok. this semester im taking karate/ tae kwon doe. its really fun but a lot of work. i signed up for the class because i thought it wouldnt require too much work - aside from the work out - but actually this class has books and i have a three to five page paper due in it. its the only class i have a paper due in this semester. how odd is that?. oh well, it should be fun either way. this alanis morissette music is some really angry music. ",high,low,high,high,low
"what to write in the paper. hmm pizza is good to eat I'm hungry. my head itches I wonder where everyone is going to eat. I'm hungry whats that base noise in the background I'm tired and hungry my computer is loud. someone has a good sound system am I going to eat at dobie? where do I want to eat!!!drivers appreciate tips this pizza place is pretty cheap whos on icq?  gosh I'm hund\gry my stomach hurts. man I don't want to do this assignment. its kinda cold in here. ym ankle itches, stupid ankle bite my head itches too I'm tired I wonder is my I'M football team going to be good. hmm I wonder whos going to be in my biblestudy I have so much homework who just came on aol messemnger? ah niraj did who else do I know who I can call to go eat with. man magic the gathering the game sucks. I'm deleting it from my computer. who just left aol msg hmm michael just came on then left. hmm. my hair is kinda messed up its dark in here. hmm I wonder whos going ot prom with who this year hehe timmy hsu didnt go with anyone! why didnt he go. couldnt find anyone to go with? gosh I want to eat I'm thirsty I'm going to the fridge to get a capri sun nice an dcold man our room is messyhow much longer do I need to go ugg 7 more minutes man I havent seen stephanie in like forever. shes so shortmaui punch my port number is JEWE291 my ear itches I need to clip my nails ah jlee just came online!capri sun is good nice and cold stupid keyboard mani hate hw I'm still cold its 6:12 man ali landry is hot. I love doritos I'm hungy yeah only one more minute what ddi jakes computer just do? I need a new video card  ",high,high,low,low,low
"Last week I took a Chinese Clep test. It started out very well, I understood everything that the recorder played and was able to answer all the questions. As you know, the Cantonese language is written in two different formats. One way, the tradition way, was the one I learned since I was a little kid. The other format was a newer, I believe it originated in Hong Kong or something, was much like the original except more scribbled-looking"". Anyways, I opened the next section of that test and it all looked like scribbling to me. So I spent most of the remainder of time sifting through and guessing at words. Then, I decided to just skip through to the end. That is when I figured out that the back part of the test was the traditional format. ""Damn it!"" was the first words that rushed through my mind, along with a whole stream of foul consciousness. But of course, that was last week, and I already have my results back from the test. I believe I did relatively well. Relative to my usual grades in my classes and tests. Today, Monday, is the first day I have been to my RLM Biology discussion, thus making the actual first full week of school. I must say, I am completely exhausted. Biology discussion was quite an episode. We had an TA that had a really really bad accent. Much worse, he tried to give an oral review, and when he asked questions, everyone in the class stared at him blankly. Some ventured a guess softly, but the entire process took most of the discussion period. Then we took a quiz, which I found to be a bit difficult because I didn't understand teh oral review. I had to buy books today. Spent a whopping 129 dollars just on two stupid books that I probably won't be needing much. I could have found many many other uses for that 129, but this is college, land of the rich and prosperous, haha. Geez, look at my grammar in this essay, I think my english teacher would have a heart attack. Psych class was pretty interesting today. Dr. Pennebaker brought in a polygraph for demonstration in the class. I was completely fascinated by the experiment. Too bad I can't say the same for my Philosophy class. Its not a boring class, its just that he is got this very very soft weird voice, almost commanding me to fall into deep sleep. And so I obeyed. I notice that when I'm sleeping in class, my body still attempts to take notes while my brain is on standby. But of course, I wake up to find a whole lot of scribbling on my paper that does not make any sense whatsoever. You can definitely tell at what point in the lecture I crashed. The funniest part is, I lent my notes out to a friend that just got into the class, wishing him good luck. I think since I have been here at UT for the fall, I have become more stressed about little things and uncaring about other things that should be worried about. I have been wondering about how my friends have been doing, wherever they went. I worry about other stupid things that I feel the need not to bring up at this moment. However, I have not been worrying enough about schoolwork. I have been recreating too much. This weekend though, we went to Barton Springs to see a friend that came up to visit us from UTSA. Barton Springs was nothing like I had imagined. I absolutely loved it. Everything except the coldass water. Then on the trip back, with the windows rolled down and the wind in my face, it felt so good. It felt like summer again. Of course, I had enrolled in the UT Summer program. A little bit of work, but a lot less crowd. I miss summer. ",low,high,low,low,low
"     Im tired and i need to wake up tomorrow for my eight o' clock class. . i should probably go to bed. My roomate is already in bed i swear thats all he does i come home from class, he's asleep, i wake up he's asleep. I need to clean my room up, there is a bunch of crap in here. i need to do dishes and laundry and clean up my floor. i wish i were playing racquetball. . but i can't get a court they are all full. . why is racquetball so popular here. ?  I need to go shopping too. i need more gatorade and some more coke. and maybe some more candybars. . i think ill get a coffee maker. . can i have one here or is it against   fire codes    i need a shower too. . im thirsty. . nice cold coke. man i don't know if i can write for 20 minutes straight. man . . eight o' clock. . thats funy. . my roomates car smells horrible. hehe. . aint no mountain high enough, aint no river low enough. i wonder why vilmar was listening to that, i can't wait till this weekend goin to fort worth, i should call creig, i need to do that, see what he's up to and go visit him. i need to order that light for my computer too. i wonder whats on tv, i wonder if the simpsons are on. . maybe ill find out. i wonder why i havent found a girl up here yet, there are thousands here but i can't seem to talk to one of them i just need to walk up to them and be like, hey, whats up. . i don't know though, some of them look snobby. . oh well. . i wonder if im supposed to have the music on or not during this, this is kind of interesting just to type for twenty minutes. i wish this cold would go away, I've been sick forever. what if the phone were to ring would i answer it or what??  ill go take a shower after this. i remember high school, it was fun but im still glad i graduated early. . move on to bigger and better things, i just hope my parents are proud of me. i bet they miss me, i miss them too but not too much, they are only an hour away. . my dog is the one i really miss, i saw a seeing eye dog earlier and was like, i miss my dog, hes awsome, he helped me through some stuff. . why did candice accuse me of breaking andrews windshield, thats not cool i wasnt even there. . oh well, not my problem, he deserved it though he wasnt being cool to britney, whatever, hey she just got online, cool. ill talk to her later. . i still got nine minutes to type. twenty minutes is really a long time, classes seem short here compared to high school even though they are the same length. . thats a good thing though. man im tired, seven minutes, i need a shower, i wonder whats wrong with vilmars computer, i bet i can fix it if i get a chance, i bet its just installed wrong or something, but thats cool, ill see what i can do, this song sucks, change it. . god im tired, been up too long, need sleep, i wonder where jorge went, he took his calculus book and left, i bet he went to go study with raj, yeah. man candice is pissing me off, she thinks i did it, thats messed up, i wasnt even there. whatever   ",high,low,low,high,low
"I feel a bit stressed out this week because it seems like my assignments are piling up. Computers are not my specialty so I am glad I made it on this web page, now if I can only figure out how to check my e-mail. I went to a alpa Kappa Delta Phi meeting last, which turned out to be pretty fun. I am so excited about the whole sorority experience. I hope I get a bid. This would be such a great experience - to make new friends. At this moment I am trying to get things done because I have a class in an hour and I have to attempt reading the Wall Street Journal before 5:00. I would have gotten my paper yesterday, but I couldn't figure out the lock combination, so I called the Wallace Distributors and left a message yesterday. She called me this morning and treated me as if I were a child, speaking real slow and in my opinion she was patronizing me which I really hate. I think I am going to be nervous all week wondering if I am going to get into KDPhi. My roommate and I are getting along pretty well so I am pretty happy about that. She is trying out for Spirits and I hope she gets in because she deserves it. I am worried that it will be difficult for her to get in because 200 girls are trying out for 23 positions.   ",high,high,high,low,low
"     Well, the biggest thing that I have been thinking about is of course, my boyfriend!  He is in San Antonio, and I miss him so much!  I was fortunate enough to see him the past two weekends. This last weekend I got to see him play in his first college football game at Trinity!  It was really exciting, but it stunk because unlike in high school, I wasn't on the track cheering for him. I was also super happy because I have been able to see my family. I am such a nerd, because I miss my mom so much!  She has always been there for me, so it is actually kind of hard to make my own decisions. But it is also good, cause it is definitely time for me to grow up!  My brother came in town for the first time in several months and I did not get to see him, but it didn't bother me, because I know he didn't miss me. He was away for the Navy, and I wrote him a letter, and he never wrote me back. He has put my family through so much crap, that I don't know when I am going to be strong enough to see him. Thank god the rest of my family is so caring and sane!  Life goes on, and he will soon realize how important his family really is, especially after all we have done for him. At first, I was extremely nervous about school and Sorority rush, but now everything is getting better. I was so glad when I became a Zeta because that is what I wanted from the start. It was just kind of hard because when we were practicing for Phi Psi field day, they tried to put me up in a stunt, and made me feel soooo fat. I am already so self conscious about my weight, so it really hurt me. I really don't want to have an eating disorder, especially after a movie being made about my aunt and her failure as an Olympic athlete because of balimia. Well, now after almost eight minutes, my arm hurts so much, and all i am wondering is when this is going to be over with!!!  I also hope that my studies turn out ok because I really have to study to get good grades, like REALLY!  I am just not smart like everyone else, or at least that is how I feel. I mean I like all my professors except for Pre-Cal, which really pisses me off because I took pre-cal and calculus in high school and aced them both. but this adjunct teacher does not teach at all. He goes over the basic formulas, which I have known since like eighth grade, and then gives us the most difficult homework, which he has not given any examples for or ways to understand in class. He also words the problems in the most bizarre ways. All the students are so confused, and it makes me feel so stupid, because it is just Pre-Cal!  So, today I went to the University of Texas Learning Center, and it really seemed to help. I think out of my class of thirty, there was three of us at that moment in there. So that already says enough about our teacher. Also, I emailed him about it, and he made me feel even stupider. I mean if he wants respect from me, then he needs to respect me!  He told me he couldn't pat my hand to make me feel better, etc. , and I was like, yeah, but you could try and teach us, instead of going over 8th grade algebra!!!  But oh well, I am trying to fix everything!  I just decided that I am going to be on top of all my studies, and try to keep up on the reading and all my math homework. I hope that I never forget about any important tests, or assignments, or papers. I am super glad I am in a FIG, because hopefully that will help. I am just super horrible with tests, because I have a major test anxiety. That would explain my horrible SAT score. But whatever, it is all good, I mean look, I made it to UT, didn't I~!  Well, since psychology is my major I hope this class keeps me super interested so I don't switch majors like five times, like every other college student!  I just want to know what I want to do with my life, besides marry my sweetie, and be successfull with my family and money. But, so far, I am so glad I have chosen UT, because I absolutely love it, and even though there have already been those times when I have felt so fat, or so overloaded with sorority stuff or reading( which I am also very slow at!), i know everything in the end will turn out just how it is supposed to, because God is here carrying me through out all my good times and my bad!  I just hope I can figure out this pretesting thing, because that would be awesome if I didn't have to do five hours worth of experiments, ya know!! ",high,high,high,high,low
"of course I don't ever really cry--or at least not very often. I've been waiting for a really big cry since I moved here a month ago--but no tears. I left some of my best friends--though I have over a dozen friends here from my home town of College Station--but not all of them and I left my house and my birth city and my parents and two of my dogs(the third one I brought with me). though I don't really know why I am writing this to the computer as if it will respond back or much less cares at all about my personal life. I suppose that i am just suppose to ramble and write what is in my head--yes I am so tired that I am repeating the directions for this assignment out loud to myself and I am actually so bored and tired as to write them down as part of my assignment. I suppose that that bit alright. it is now 1:28 am and that means that technically I cannot write again until after mid night tomorrow or today or whatever which is too bad because that would make my life easier to be able to do it tomorrow afternoon because I only have one class but I suppose I should stop bitching at the computer. because frankly it is a computer--of course now I am worried that this should have been some philosophical expression of how I, erin, tick as a human being--but now I am way to tired to rewrite this--if it won't send properly then I promise myself to do something deeper next time--for now, however, I'm done. ",low,high,high,high,low
"Now I've really come to see that life would be much better once you're gone. This is a good song. Only girls like it though. Bye Bye Bye. Fool for you. I don't feel this way about Jason at all. I am really in love with him. I can't let my parents know. I don't like hiding the way I feel from them but they would never like Jason if they knew I loved him so much. I am looking at our picture right now. That is the picture that I looked at the whole time I was in Europe. He looks so good but it seemed like I almost forgot what he looked like after a month. Just looking at that picture wasn't enough. I'll never be able to tell him what happened. I love him too much. If I really love him that much, would I have done it? I think it was something I had to do to get that nasty feeling to go away. I don't regret anything. I still can't get adjusted to this new college life. I guess it will take more time. I know I'll love it soon. I always want Jason to be here when he's not and when he's here I feel like he's tying me down. He is really understanding about my adjustment though. I jut hate it when he gives me a guilt trip. He also thinks he superior to me too much. Whether it be with sex or life experience. He has experienced more than me but there are a lot of things that I know better than him. He doesn't think that. That is all the complaints I have about him. God, I am totally in love with him. What did he do that captured me? His looks defiantly were the reason at first. He feel in love me much sooner than I fell in love with him. I'm still catching up and now I am put in the setting where I have a lot of other options. I still choose him over anyone. There isn't another guy that has all his qualities. I have defiantly not seen anyone as hot as him. He's gorgeous to me. I miss my parents. I wish I didn't have to so secretive with Jason around them. They know how I feel, just they don't know how much. It bothers them already and they don't even really know. How am I supposed to tell them? I want them to get along with him. I think someday they will  once they realize how I feel they'll support anything I decide. Looking at Jason and me compared to Erich and Lisa is weird. I can't see how Lisa loves Erich judging by the way they fight. They'd never make it. Jay and I never fight unless it's over something really dumb and then we forget about it two seconds later. Maybe its cause we don't see each other as much. That is going to change because we're so much closer. Lisa and Erich fight more now that they're apart. It sucks for her and me for that matter because I hate the way she's always upset. It will end soon and she'll get over it. ",low,high,low,low,high
"How do you know when you can really know what another person feels. How do I learn to trust what people say to me. It's hard for me to be in a relationship when I can't see that person everyday. I know that I am the kind of person that would never want to cause any pain, yet I see people who are in relationships for such wrong reasons. My friend was telling me that she is dating this guy yet already has plans on leaving him for something better. I don't understand why people can be so selfish to where they don't think of other peoples feelings. I am in a very intense relationship right now. I love my boyfriend with all my heart. Having a long distance relationship is very hard to deal with when you are the type of person who needs that comfort of a companion. I know how I feel for him and I think I know what he feels for me to, yet in a world where people can be so deceitful, I find it still possible that I can be the one being used in a relationship. I guess you must do what your heart tells you to because love is a risk. I believe it is worth taking. When you love someone, you have this vulnerable feeling towards them. I don't want to walk blindly into a relationship, being overwhelmed by the feeling of love but I would want to see how the flow goes. I want to learn how to be a good companion. I hope someday to make a really good wife. I find it important to marry your best friend. I can't wait until I figure out what life has in store for me. I want to do so many things and right now I feel so limited. I just hope that no matter what happens with my relationship now I can keep a friendship. I believe that the first love of your life will never die, and true love lives in you forever. I can never imagine not loving him anymore. I don't want to be person that is dependent on someone else but I do think that it is good to have someone to run to when things do always go right. Sometimes I feel like I don't know what to say when he runs to me with difficulties in his life. He always seems to know what to say to make me smile. When he told me about his cousin in the hospital and how he figured the funeral would be coming soon, I had no idea what to say. I didn't know what to tell him other than the only thing we can do is pray for him. I believe that that is all we have when we come to situations like that. I just wish I could talk to him and be able to be more comforting. I have to feel like I am bringing him a sense of comfort in this relationship. I love him so much and I don't want him to suffer any pain. It is just so hard not being able to physically be there for him because just the comfort of having someone at your side, can help you get through rough times. When I do see him I will hopefully know what to say when that moment comes. I find that ever chance that we do get to see each other I try to absorb the feeling of his presence. I try to remember his scent and the way his lips feel against mine. It's so hard to let go of him. I just want to try to treasure that moment so that it can get me through another week. I miss hearing his voice even though we talked just a day ago. So how do I do this going maybe four years of living in another city. My life right now is perfectly the way that I have always planned and dreamed, except for living away from him. I know that I am not in a place to compromise. I can't compromise my education. I have always dreamed of going to this university and now that I am here, I wouldn't dream of letting this go. Yet my problem is that I don't know that I could ask him to give up what he is doing, because I love him and I know that he loves what he does. Yes, it is possible that he could move to Austin, considering there are jobs available to him, but I wouldn't want him to make that decision because of me. I would want him to have more than me to move. So we just seem to take it day by day, but I can't help but ask ""Where are we going to be next semester, next year or after I graduate?"" my question must wait until the time happens. I have to just learn to have patience and see where destiny takes me. I will become stronger through all of this. I hope to learn selfconfidence and to be more dependent. I know that I have many good things to bring out to people and someday I will know who the person is that deserves my love and affection. Maybe I know it now but in time I will find out whether I am right or not ",high,low,high,high,low
"I'm thinking I don't know what to write This popsicle tastes good, I'm really bored, my roommate is gone I'm sitting here in a stupor, not really thinking about anything I'm thinking I miss my girlfriend and I should probably    call her when I am done with this the popsicle tastes good. I hear the  bass from the stereo of person in the room next to me and I think it's  kind of annoying. Tonight is going to be fun, I am looking forward to that, this popsicle is really good. I think I need to clean my room, it's really messy. I need to throw out the food wrappers, put my clothes away, that persons stereo is really annoying, I hear loud voices in the hall, I wonder who they are, it sounds like a cute girl, I need to put my papers and  homework away. I am going to get another popsicle. It tastes good too. I wonder if a m doing this assignment correctly. I am looking around my room for things to think about, but nothing really sparks any interest. I'm really bored. I think I will turn the radio on. Never mind, I think that that might interfere with my stream of consciousness. I hear one of my friends voices outside talking about the start of intramural football with somebody. I can't wait for that to start, but I am upset that I have to play coed instead of men's. This other popsicle is really good too. I feel papers in my pocket and I take them out, its my bank statements. That makes me upset because I see all the things I wasted my money on. I throw them on the floor. I'm thinking  that my time is a little over halfway done, and that makes me feel good because I am looking forward to stop typing this. When I am done I think I will take a shower, and then maybe, I'm thinking about something interesting I can do after that, I'm playing racquetball at 5 so something in between that. I don't know, maybe I can figure something out when my roommate comes back. I'm hungry. Now I'm eating chips. I'm laughing because I'm thinking if you actually read this one you will think I have an obsession with food, which I kind of do but that's just because I am hungry all the time. I really like the chips. I'm kind of sleepy too,  maybe I'll take a nap. I was thinking about typing and how I am good at it and that made me think about my grandpa for some reason because he looks really silly when he types and that made me miss him because I haven't seen him in over a year. Maybe I will call him this weekend   I love chips and salsa, it's damn good. My roommate is going to be pissed because I am eating them all without him. It doesn't matter though because I am really hungry. 2 minutes left I can't wait till this is over, its been interesting but I want to do other stuff. I'm excited though because this counts as a grade and this will be a good start for psychology class. I really like these chips. Well times up and now I'm really happy because I'm done.      ",low,low,high,low,high
